rank,address,label,proxy_score,wallet_type,trading_signal,win_rate_pct,profit_factor,track_record_days,txn_count,total_volume_usd,avg_trade_usd,active_days,tokens_traded,dex_count,source
371,0xad213ae0b710c7bc6c915984d91bad008b2d3221,Dune DEX Trader #0,78.1,DEX Trader,Active Trader,80.5,1.31,177,1932,49525300.82,25634.21,132,148,7,dune_dex_trades
372,0x00000000a991c429ee2ec6df19d40fe0c80088b8,Dune DEX Trader #0,78.1,DEX Trader,Active Trader,93.6,0.82,179,1598,4468771.07,2796.48,160,375,2,dune_dex_trades
373,0x96e133f85342aad69d2ad432f93d699385fb978f,Dune DEX Trader #0,78.1,DEX Trader,Active Trader,66.7,3.77,98,90,103684.16,1152.05,30,4,1,dune_dex_trades
374,0x1188bc55c6bc64a149e646a1689937abd74b2f07,Dune DEX Trader #0,78.1,DEX Trader,Active Trader,60,7.96,91,48,321903.96,6706.33,23,6,5,dune_dex_trades
375,0x6596da8b65995d5feacff8c2936f0b7a2051b0d0,Gate.io: Deposit Funder,78,Smart Money,Very Active Trader,,,180+ days,430039,,,,,,
376,0xb0bada5d45d939a03c6d211d24a61a4418d7cd13,Dune DEX Trader #0,78.0,DEX Trader,Active Trader,80,2.46,175,198,839477.21,4239.78,71,16,5,dune_dex_trades
377,0x1f2a2c9f26a8438a20fc14b2401a84584349014f,Dune DEX Trader #0,78.0,DEX Trader,Active Trader,66.7,4.01,157,92,134222.64,1458.94,51,47,1,dune_dex_trades
378,0x0099dbfde42d48519e5053dba85752092cd30d3b,Dune DEX Trader #0,78.0,DEX Trader,Active Trader,50,7.36,156,76,207972.61,2736.48,27,5,6,dune_dex_trades
379,0xec76f8d1d441bf415c4ffa6799626cb6112a34ee,Dune DEX Trader #0,77.9,DEX Trader,Active Trader,50,5.51,94,206,6804054.62,33029.39,55,4,4,dune_dex_trades
380,0xd7583e3cf08bbcab66f1242195227bbf9f865fda,Dune DEX Trader #0,77.9,DEX Trader,Active Trader,66.7,6.39,168,48,5879651.64,122492.74,23,3,3,dune_dex_trades
381,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,Dune DEX Trader #0,77.8,DEX Trader,Active Trader,58.3,2.36,179,440561,3121782567.6,7085.93,181,1395,1,dune_dex_trades
382,0x7f7e2f02d7125f9ad99d1dcedb99d01e1f29d9cd,Dune DEX Trader #0,77.8,DEX Trader,Active Trader,75,2.89,131,179,21633822.89,120859.35,28,4,5,dune_dex_trades
383,0x64b870e5e1fecd557d4c2cd7896ee7f5a668e5b0,Dune DEX Trader #0,77.7,DEX Trader,Active Trader,46.2,4.6,179,589,13669739.01,23208.39,149,16,5,dune_dex_trades
384,0xbf61c1a1eb7a43e83ce1f2dc1a8565346ed08a59,Dune DEX Trader #0,77.7,DEX Trader,Active Trader,75,3.25,155,41,64325.18,1568.91,23,4,5,dune_dex_trades
385,0xd80402321fbcfde16b2936d4c8f42303f5ba94ff,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,59.2,2.5,123,3433,37681647.98,10976.3,124,107,5,dune_dex_trades
386,0x804f5230d7269f780889464d1d452a24499b068d,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,62.5,3.19,119,1734,1196644.5,690.11,94,8,1,dune_dex_trades
387,0xe90f28bef260dd1c122b2355a19c1f318ed87cd3,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,57.8,3.79,132,956,624123.83,652.85,116,496,1,dune_dex_trades
388,0x227e6784b78c7b1edb330237cb0ac170f0d6d6cd,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,100,,100,323,621158.22,1923.09,49,4,1,dune_dex_trades
389,0xa1b7bbade134db3b14b56056480e81c60ab77377,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,83.3,2.15,155,252,769812.42,3054.81,81,17,2,dune_dex_trades
390,0x5ac65511fef88144f531b79043bc524e5562b8b3,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,71.4,3.44,150,73,3241121.76,44398.93,38,10,4,dune_dex_trades
391,0x314cf9088018503213029383ae968c6c54dcdceb,Dune DEX Trader #0,77.6,DEX Trader,Active Trader,66.7,3.93,161,66,133728.95,2026.2,39,10,5,dune_dex_trades
392,0x226d1e21c8316da2684ef74c3192fbdfe9f373ea,Dune DEX Trader #0,77.5,DEX Trader,Active Trader,50,5.17,152,245,424914.12,1734.34,95,11,2,dune_dex_trades
393,0x004b38217d000000001e4f000034a6f30026bf1c,Dune DEX Trader #0,77.5,DEX Trader,Active Trader,71.4,6.82,98,75,68791.48,917.22,38,15,3,dune_dex_trades
394,0x1f23e63de50e8cd5df160390ffcc1492d1a22472,Dune DEX Trader #0,77.5,DEX Trader,Active Trader,66.7,3.97,153,72,132818.28,1844.7,44,13,1,dune_dex_trades
395,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,Dune DEX Trader #0,77.4,DEX Trader,Active Trader,54.8,2.93,178,1078,6187296.99,5739.61,151,76,6,dune_dex_trades
396,0x17048445ebce165d1655cee98701cd5d5f6098e2,Dune DEX Trader #0,77.4,DEX Trader,Active Trader,50,18.05,105,85,341406.76,4016.55,27,4,7,dune_dex_trades
397,0x1a56abf4fe95e21c1704cbd5ffc79ea1effa3cc1,Dune DEX Trader #0,77.4,DEX Trader,Active Trader,50,7.55,170,68,363792.1,5349.88,29,6,3,dune_dex_trades
398,0xf07c073ce70838a7987efae5f0350e111dca8a5c,Dune DEX Trader #0,77.3,DEX Trader,Active Trader,50,3.53,176,674,4842764.18,7185.11,114,5,2,dune_dex_trades
399,0x175c69c9749f0eb476c63a343252a7701081dff6,Dune DEX Trader #0,77.2,DEX Trader,Active Trader,75,3.06,172,145,105665.9,728.73,34,5,2,dune_dex_trades
400,0x1c523276334d341dc0d3c89117ae44903c0b3a2e,Dune DEX Trader #0,77.2,DEX Trader,Active Trader,66.7,2.78,137,136,4845793.74,35630.84,30,9,6,dune_dex_trades
401,0xacf19e0cb91017e74c5b788110e0b203736235fe,Dune DEX Trader #0,77.2,DEX Trader,Active Trader,60,4.17,159,42,317348.07,7555.91,20,7,5,dune_dex_trades
402,0xfcec5d04d41f730f672d77ccb1c8546cbfc84428,Dune DEX Trader #0,77.1,DEX Trader,Active Trader,68,1.89,123,4360,31820147.87,7298.2,122,107,5,dune_dex_trades
403,0x0b63d65da19975dbaaebab47f08b99c42c7de662,Dune DEX Trader #0,77.1,DEX Trader,Active Trader,60,2.13,179,1891,5111240.4,2702.93,142,35,9,dune_dex_trades
404,0x5d0e835c26a106f7a07fa76693fe9b2d2ce93cca,Dune DEX Trader #0,77.1,DEX Trader,Active Trader,66.7,2.04,165,337,661831.62,1963.89,42,4,2,dune_dex_trades
405,0x80d6a4dfbdacda939f124ab27e2855c4f7e4d984,Dune DEX Trader #0,77.1,DEX Trader,Active Trader,63.6,4.02,116,89,161958.99,1819.76,41,14,3,dune_dex_trades
406,0x0481c467abd2de99020b30635773d5ba02098ec7,Dune DEX Trader #0,77.1,DEX Trader,Active Trader,50,10.18,179,83,124739.82,1502.89,39,18,5,dune_dex_trades
407,0x1f3c68af5603cf473ec6e827a74d50d18e26e8b3,Dune DEX Trader #0,77.1,DEX Trader,Active Trader,66.7,3.5,121,73,629885.49,8628.57,28,4,6,dune_dex_trades
408,0xf0c98a45d3421575ccb1800fd522b817a9212a5d,Dune DEX Trader #0,77.0,DEX Trader,Active Trader,50,3.73,178,1326,146080149.15,110166.03,97,4,7,dune_dex_trades
409,0xe20446cccbfd5f9038e747f1dea8016ecbd94ae5,Dune DEX Trader #0,77.0,DEX Trader,Active Trader,66.7,2.77,154,369,983747.13,2665.98,90,7,4,dune_dex_trades
410,0x1434cf7cd9e5563e1caf097ed262c55cf021fee9,Dune DEX Trader #0,77.0,DEX Trader,Active Trader,66.7,4.35,125,31,34492.17,1112.65,26,4,2,dune_dex_trades
411,0xd059075bf71107c56522b60354feb51edd1654bf,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,50,2.84,145,1188,1329407.35,1119.03,100,9,5,dune_dex_trades
412,0x6a5ec9b855aeb679bf5bc7e806b85d27a97eb2df,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,80,2.69,153,153,5499770.29,35946.21,84,6,5,dune_dex_trades
413,0x299135b95bf78ec94b2cdf10db056664ea06f850,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,75,2.68,106,146,272853.41,1868.86,44,5,4,dune_dex_trades
414,0x95d30549f608c59a745c3d838fc54a23d7ce3ae7,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,66.7,3.61,161,97,4034243.51,41590.14,52,8,5,dune_dex_trades
415,0xadaf39c069eb1bc927394ecc2655a25cc4a4f47c,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,75,2.48,171,87,123146.75,1415.48,29,10,5,dune_dex_trades
416,0xd40cf27988b5d40a29bc242685a6da4a9e5f2a80,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,75,2.76,148,67,215505.69,3216.5,27,6,5,dune_dex_trades
417,0x00000000ede6d8d217c60f93191c060747324bca,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,60,6.14,106,53,643074.47,12133.48,38,6,1,dune_dex_trades
418,0x501341f595ae91041a39400cbfde29fb6b744f52,Dune DEX Trader #0,76.9,DEX Trader,Active Trader,75,3.11,171,48,2242590.86,46720.64,31,6,3,dune_dex_trades
419,0xaaaa2889378851fe14dc0d39714b5eb2a029b916,Dune DEX Trader #0,76.8,DEX Trader,Active Trader,50,2.78,179,1621,33925003.31,20928.44,174,19,5,dune_dex_trades
420,0xb1624432a48e7f39339dab05956b57615088e69b,Dune DEX Trader #0,76.8,DEX Trader,Active Trader,100,,126,115,154219.39,1341.04,23,11,4,dune_dex_trades
421,0x9d3ebaa708984bcc0946f1fefb245fb145d2428d,Dune DEX Trader #0,76.8,DEX Trader,Active Trader,75,3.9,161,99,76774.83,775.5,48,6,4,dune_dex_trades
422,0x255b8a55b3dcd5878031b963357671d69ddfb322,Dune DEX Trader #0,76.8,DEX Trader,Active Trader,75,2.71,109,64,173371.95,2708.94,21,4,3,dune_dex_trades
423,0xf0a04b079dcf7b9d92682123ba2e2180109cb650,Dune DEX Trader #0,76.8,DEX Trader,Active Trader,66.7,92.24,161,56,43492.37,776.65,34,11,2,dune_dex_trades
424,0x0000000000008359421a71a3d1f8c72921c8504d,Dune DEX Trader #0,76.8,DEX Trader,Active Trader,66.7,6.94,172,44,39212.41,891.19,28,11,2,dune_dex_trades
425,0x0f5486c5fc3a9fb65dc6a1223d5b9233d4bde792,Dune DEX Trader #0,76.7,DEX Trader,Active Trader,60,3.79,151,255,420056.83,1647.28,98,10,2,dune_dex_trades
426,0x1a4948a51131a1e48593be4812259f5ed3331775,Dune DEX Trader #0,76.7,DEX Trader,Active Trader,75,2.94,162,52,71752.66,1379.86,28,4,5,dune_dex_trades
427,0x19d4c7f70376e879bac4cc3919e3ae468e48a117,Dune DEX Trader #0,76.6,DEX Trader,Active Trader,40,3.39,169,1103,1727222.06,1565.93,111,7,2,dune_dex_trades
428,0xb658b412691e9b5f6455f908882d9261987adf38,Dune DEX Trader #0,76.6,DEX Trader,Active Trader,80,2.31,152,244,436218.07,1787.78,93,10,2,dune_dex_trades
429,0x928d36aace2a6bf276c83ee812c10a00b97d5c40,Dune DEX Trader #0,76.6,DEX Trader,Active Trader,50,13.25,164,95,121933.12,1283.51,47,10,4,dune_dex_trades
430,0xa765a629f11f538f6d67e3fdf799baed1506017d,Dune DEX Trader #0,76.6,DEX Trader,Active Trader,62.5,4.73,167,68,3433826.95,50497.46,27,9,5,dune_dex_trades
431,0x4dfae204a53e4d10e842a7eb2e7ad4931c3abe5b,Dune DEX Trader #0,76.5,DEX Trader,Active Trader,56,2.25,179,2691,33798776.91,12559.93,155,38,3,dune_dex_trades
432,0x5fe52be8a8eae8c39b9b104fe6fe19f715e1a96d,Dune DEX Trader #0,76.5,DEX Trader,Active Trader,100,,153,115,267551.82,2326.54,27,51,3,dune_dex_trades
433,0x9deff269b22849889cae9a965769f576a1e72d27,Dune DEX Trader #0,76.4,DEX Trader,Active Trader,66.7,3.46,175,47,1826838.2,38868.9,26,6,5,dune_dex_trades
434,0x8da2aaa435591dcff7adc99b2fdd7ae0be59ba8d,Dune DEX Trader #0,76.3,DEX Trader,Active Trader,66.7,2,91,525,2122638.99,4043.12,54,30,4,dune_dex_trades
435,0xb08fa4032a59a40e8dd61fa2aec62c653207729a,Dune DEX Trader #0,76.3,DEX Trader,Active Trader,66.7,2.08,106,260,1652494.58,6355.75,31,6,5,dune_dex_trades
436,0xee608a97b040c341c85afad3e1dd69251eb87035,Dune DEX Trader #0,76.2,DEX Trader,Active Trader,60,2.6,176,580,1449759.22,2499.58,104,12,3,dune_dex_trades
437,0x1612ba11dc7df706b20cd1f10485a401510b733d,Dune DEX Trader #0,76.2,DEX Trader,Active Trader,66.7,3.19,137,243,908350.69,3738.07,94,13,3,dune_dex_trades
438,0xf009b11125e68f35fc4201259be40a16d7690e63,Dune DEX Trader #0,76.2,DEX Trader,Active Trader,66.7,2.62,119,93,111356.65,1197.38,20,8,4,dune_dex_trades
439,0x93fa8d7313f3dbcc627fdc7896d2323e71865eb6,Dune DEX Trader #0,76.2,DEX Trader,Active Trader,50,15.04,155,82,127839.87,1559.02,43,43,1,dune_dex_trades
440,0x226c79d1e5802fd07e4cd5467df9655263d5e2b1,Dune DEX Trader #0,76.2,DEX Trader,Active Trader,80,2.77,150,34,56133.83,1651,24,5,4,dune_dex_trades
441,0x163f3103de041d25464e2c8a4f8f3187ec1856e0,Dune DEX Trader #0,76.1,DEX Trader,Active Trader,66.7,1.88,103,30217,62798632.31,2078.26,104,8,5,dune_dex_trades
442,0xb24c02148f36c138c1f82b5cf05ec4f67e88a77c,Dune DEX Trader #0,76.1,DEX Trader,Active Trader,75,1.31,155,2499,92688343.98,37090.17,137,7,4,dune_dex_trades
443,0x8fb66c6e0f3cbb25001e0f1c0352cc888cff6444,Dune DEX Trader #0,76.1,DEX Trader,Active Trader,55.6,2.4,179,1327,2219848.88,1672.83,159,10,1,dune_dex_trades
444,0x6a162432aed56434cdaf4f547d5695f3bc642f22,Dune DEX Trader #0,76.1,DEX Trader,Active Trader,75,2.47,158,56,393445.33,7025.81,21,4,1,dune_dex_trades
445,0x612b56357a5d9f1de67f11c873517257dffa32c3,Dune DEX Trader #0,76.1,DEX Trader,Active Trader,60,4.05,94,50,160334.12,3206.68,20,6,5,dune_dex_trades
446,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,Bittrex,76,Smart Money,Very Active Trader,,,180+ days,11598672,,,,,,
447,0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,76,Smart Money,Very Active Trader,,,180+ days,1607109,,,,,,
448,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,MEV Bot: 0x98c...b8e,76.0,Smart Money,Very Active Trader,76.2,1.2,179,1476009,,,,,,dune_dex_trades+existing
449,0xdca2d7633bf2ebf13511a23eabdc662293b399f5,Dune DEX Trader #0,76.0,DEX Trader,Active Trader,75,2.81,165,169,131642.94,778.95,40,29,6,dune_dex_trades
450,0x52cfe79790f87ef64c9c8b6a3cf3335838db8731,Dune DEX Trader #0,75.9,DEX Trader,Active Trader,100,,170,228,290519.13,1274.21,64,95,3,dune_dex_trades
451,0xc20dd1afce5cc9a9a763b5a0c6cd9414ea752967,Dune DEX Trader #0,75.9,DEX Trader,Active Trader,40,6.32,124,109,846421.65,7765.34,28,6,4,dune_dex_trades
452,0xcad97616f91872c02ba3553db315db4015cbe850,Dune DEX Trader #0,75.9,DEX Trader,Active Trader,66.7,3.72,163,38,180000.99,4736.87,29,9,4,dune_dex_trades
453,0xe96e48a20c1d92a9e25aa1938f8409791000000e,Dune DEX Trader #0,75.8,DEX Trader,Active Trader,58.3,2.21,179,827,2265137.58,2738.98,103,13,2,dune_dex_trades
454,0xe9ac994d6297dc24ac7ac97da75c122f11329177,Dune DEX Trader #0,75.8,DEX Trader,Active Trader,75,2.51,132,87,99930.26,1148.62,32,5,1,dune_dex_trades
455,0x8cdd5b195f0b0922ced3a8feafa80ede9ebe0299,Dune DEX Trader #0,75.8,DEX Trader,Active Trader,75,2.58,159,51,1260489.38,24715.48,23,8,5,dune_dex_trades
456,0x4fe93ebc4ce6ae4f81601cc7ce7139023919e003,Dune DEX Trader #0,75.7,DEX Trader,Active Trader,52.6,2.29,179,3310,60968451.9,18419.47,153,96,5,dune_dex_trades
457,0x8556da8258fa8fcb0fdc88f4cd4788ed372b3d92,Dune DEX Trader #0,75.7,DEX Trader,Active Trader,71.4,1.51,123,2509,6555051.45,2612.62,74,9,5,dune_dex_trades
458,0xd8afcac253ae3d9a09d46cacc7dffb5d0cfa5523,Dune DEX Trader #0,75.7,DEX Trader,Active Trader,75,2.93,159,84,4541286.77,54062.94,23,4,3,dune_dex_trades
459,0xa69abd35d73a3ccec5695f06efea3a0462c234d8,Dune DEX Trader #0,75.7,DEX Trader,Active Trader,62.5,3.13,97,78,266067.76,3411.13,20,13,1,dune_dex_trades
460,0x65b382653f7c31bc0af67f188122035461ec9c76,Dune DEX Trader #0,75.6,DEX Trader,Active Trader,75,1.19,179,2575,7063020.44,2742.92,177,4,1,dune_dex_trades
461,0xf40b6ffee727ff2f1757c355d56368751802890b,Dune DEX Trader #0,75.6,DEX Trader,Active Trader,57.1,2.84,174,1455,142431220.59,97890.87,110,8,4,dune_dex_trades
462,0x47ebcf27421858d4019238620a44a4ea10ebb5d9,Dune DEX Trader #0,75.6,DEX Trader,Active Trader,50,2.85,179,1214,14259026.22,11745.49,173,5,2,dune_dex_trades
463,0xf5fa2040bb64eba2c93a6acf2326e44d1fed8ba4,Dune DEX Trader #0,75.6,DEX Trader,Active Trader,69.2,2.66,163,186,206469.59,1110.05,66,78,3,dune_dex_trades
464,0xb9c967aa41292ff7afe2adcd0ee04d302a88e8dd,Dune DEX Trader #0,75.6,DEX Trader,Active Trader,60,4.41,103,43,79966.83,1859.69,27,5,5,dune_dex_trades
465,0x3a2787875ed68264bbbf29f939042523e03a6659,Dune DEX Trader #0,75.5,DEX Trader,Active Trader,60,2.17,95,1747,4608749.9,2638.09,75,6,6,dune_dex_trades
466,0x731461b70ad0f00422e0f2b2cf7daa3640bc61c4,Dune DEX Trader #0,75.5,DEX Trader,Active Trader,64.7,1.71,145,1676,22033204.62,13146.3,145,19,5,dune_dex_trades
467,0xf505281d6f778b009b7ed377b1db1ca92002ee1d,Dune DEX Trader #0,75.5,DEX Trader,Active Trader,80,3.3,174,122,93115.4,763.24,72,5,8,dune_dex_trades
468,0xe687f1655bec511bbc0af9d89f3b74b8f5d2cd82,Dune DEX Trader #0,75.5,DEX Trader,Active Trader,70,2.42,119,96,366120.35,3813.75,24,12,1,dune_dex_trades
469,0xec82a7912aeef74fb212e799f25468d96fb68635,Dune DEX Trader #0,75.5,DEX Trader,Active Trader,60,3.45,109,66,2365919.58,35847.27,21,5,3,dune_dex_trades
470,0x3328f7f4a1d1c57c35df56bbf0c9dcafca309c49,Dune DEX Trader #0,75.4,DEX Trader,Active Trader,50,2.38,179,16044,25197136.62,1570.5,181,4,3,dune_dex_trades
471,0x10f2ccefdd2257a44103379f4fe70421c2e81e96,Dune DEX Trader #0,75.4,DEX Trader,Active Trader,50,3.24,178,722,1155038.71,1599.78,143,11,5,dune_dex_trades
472,0x321f9f2a79adae24268354f7d2006a3a01408f73,Dune DEX Trader #0,75.4,DEX Trader,Active Trader,60,2.04,129,682,4212805.99,6177.13,72,5,3,dune_dex_trades
473,0xc564c71519c473e3e3d58affc157a4ef4497f787,Dune DEX Trader #0,75.4,DEX Trader,Active Trader,100,,109,200,24924505.38,124622.53,23,5,6,dune_dex_trades
474,0xef80c44d996ebac95aa62589986fb3fcdfe3f7d9,Dune DEX Trader #0,75.4,DEX Trader,Active Trader,66.7,3.45,151,42,779487.01,18559.21,27,9,4,dune_dex_trades
475,0x4b1d532131fdf4a8e6bacc84dc309442966eb3ff,Dune DEX Trader #0,75.3,DEX Trader,Active Trader,87.7,0.72,177,3447,14389034.32,4174.36,151,298,8,dune_dex_trades
476,0x912f5940eb434a7634193057bb42f1fcf6ce2656,Dune DEX Trader #0,75.3,DEX Trader,Active Trader,66.7,2.62,159,313,1117872.8,3571.48,95,3,1,dune_dex_trades
477,0xa47be2bd9e8a69bba338a9a490550b9da8159699,Dune DEX Trader #0,75.3,DEX Trader,Active Trader,50,5.99,135,64,627801.2,9809.39,39,7,5,dune_dex_trades
478,0xa98f85f55f259ef41548251c93409f1d60e804e4,Dune DEX Trader #0,75.2,DEX Trader,Active Trader,75,1.77,178,554,667174.06,1204.29,124,7,5,dune_dex_trades
479,0xaf9b98d2acde5f13eaeaeb0101273cdfa86dcc95,Dune DEX Trader #0,75.2,DEX Trader,Active Trader,60,3.62,156,164,20248389.23,123465.79,34,6,5,dune_dex_trades
480,0x19a1989b0b0d3f019e09d4ba3d0900cd29d35dfb,Dune DEX Trader #0,75.2,DEX Trader,Active Trader,75,2.27,172,59,914204.87,15495,23,5,5,dune_dex_trades
481,0xa14af8a15b5ad7bc1fa8cb23076db8375c17f9a2,Dune DEX Trader #0,75.1,DEX Trader,Active Trader,100,,144,119,200381.72,1683.88,36,6,6,dune_dex_trades
482,0x08e6c5d21ff5dc15bc8f3c4a406fd736325101a3,Dune DEX Trader #0,75.1,DEX Trader,Active Trader,54.5,3.95,164,89,156470.74,1758.1,41,11,1,dune_dex_trades
483,0x584a31052c643d32f3134a956956dad722ff4161,Dune DEX Trader #0,75.0,DEX Trader,Active Trader,62.9,1.62,179,2767,18843066.82,6809.93,174,114,5,dune_dex_trades
484,0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,Dune DEX Trader #0,75.0,DEX Trader,Active Trader,50,2.53,179,1468,1659907.2,1130.73,179,80,5,dune_dex_trades
485,0x000000aed6068d981d76641494752acf64012032,Dune DEX Trader #0,75.0,DEX Trader,Active Trader,45.5,3.75,179,619,13138571.66,21225.48,148,14,5,dune_dex_trades
486,0x346f202767cbcf9341be1fc8fe38f8f7a0fdfc30,Dune DEX Trader #0,75.0,DEX Trader,Active Trader,66.7,1.92,141,334,15614409.25,46749.73,50,8,4,dune_dex_trades
487,0x5e8a308b07194d115bcf78dac9a426c7b46ae444,Dune DEX Trader #0,75.0,DEX Trader,Active Trader,60,2.16,178,293,381034.17,1300.46,44,5,1,dune_dex_trades
488,0xb205754bc679a6a93d733bdbaf29392f1ffb7006,Dune DEX Trader #0,75.0,DEX Trader,Active Trader,40,6.02,167,63,1543476.01,24499.62,23,6,5,dune_dex_trades
489,0x73a8a6f5d9762ea5f1de193ec19cdf476c7e86b1,Dune DEX Trader #0,74.9,DEX Trader,Active Trader,75,1.31,102,4103,22600901.47,5508.38,98,9,2,dune_dex_trades
490,0x777363ef29d1168006310e3fc9383dcd9e7f06f9,Dune DEX Trader #0,74.9,DEX Trader,Active Trader,50,3.91,138,294,2755755.57,9373.32,92,13,5,dune_dex_trades
491,0xcaca6b1e62809a83362bcb274a8a74f3bede86e4,Dune DEX Trader #0,74.8,DEX Trader,Active Trader,40,8.02,152,246,473057.79,1923,90,10,2,dune_dex_trades
492,0x3176e9401251b81f979d8d969241efe6116fc478,Dune DEX Trader #0,74.8,DEX Trader,Active Trader,100,,113,97,116518.5,1201.22,27,44,3,dune_dex_trades
493,0x4d8939bff8f14c51c0365a58e9e89c6f11373feb,Dune DEX Trader #0,74.8,DEX Trader,Active Trader,66.7,3.39,138,40,96122.18,2403.05,26,6,5,dune_dex_trades
494,0xbee2a0be64fbf551424c9a66f837a28aefc97014,Dune DEX Trader #0,74.7,DEX Trader,Active Trader,52.2,2.13,178,4910,15241061.18,3104.09,156,28,4,dune_dex_trades
495,0x09e527a4b91f31da80d33e57aa0e68fe8b9afe03,Dune DEX Trader #0,74.7,DEX Trader,Active Trader,28.6,6.98,178,516,1335319.17,2587.83,104,8,3,dune_dex_trades
496,0x0a6ce7b3737d5a6d3720d034da484d5691cce45b,Dune DEX Trader #0,74.7,DEX Trader,Active Trader,100,,169,301,651632.78,2164.89,109,9,2,dune_dex_trades
497,0xba79746f3d21a0862dd8f1e7b19cf4c3d3f1e599,Dune DEX Trader #0,74.7,DEX Trader,Active Trader,70,2.34,137,257,640510.03,2492.26,75,15,2,dune_dex_trades
498,0xf12572147c793e5b70dfb9f4a0b99bbf781a0d06,Dune DEX Trader #0,74.7,DEX Trader,Active Trader,62.5,2.67,166,115,235288.02,2045.98,33,16,1,dune_dex_trades
499,0xa9a13d2ba8067996a64b406f74d86ece3172c0cb,Dune DEX Trader #0,74.7,DEX Trader,Active Trader,45.5,7.3,119,98,117831.07,1202.36,45,17,3,dune_dex_trades
500,0x22369ee0693206850a7c99ec41d5fac49f20568d,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,71,1.48,91,6357,16763751.54,2637.05,78,33,4,dune_dex_trades
501,0xa356867fdcea8e71aeaf87805808803806231fdc,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,66.7,1.62,178,1032,6943555.39,6728.25,134,10,1,dune_dex_trades
502,0xf2ff84d45783bd64913903516fa44b419f266998,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,66.7,1.7,177,706,21376260.7,30277.99,101,11,5,dune_dex_trades
503,0x58c279b94e2dd49dda13666335f387b243f52350,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,60,2.03,129,539,4217069.36,7823.88,64,5,3,dune_dex_trades
504,0xaa1a68f682e6115e587a42a1e32c18663069e3f3,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,61.1,2.1,175,504,761625.55,1511.16,80,21,3,dune_dex_trades
505,0xbee8115e08c4b0e407c66de214546624bf933504,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,50,3.44,178,371,8628605,23257.7,101,12,5,dune_dex_trades
506,0xaa0c3d6fd25aa2c23aed2659197ef39aea306172,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,75,2.17,146,126,1660790.42,13180.88,45,5,1,dune_dex_trades
507,0x1cf7a047589e7eec432061afcc87fccbba87a6df,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,50,10.04,176,110,82997.71,754.52,37,5,1,dune_dex_trades
508,0xdf2968383a3872e5036cd73fb411d0dabb224253,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,72.7,2.23,170,105,209050.1,1990.95,38,59,2,dune_dex_trades
509,0x8e3e4ade909fc019e2e3f456e07c20bd0d0e8576,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,66.7,2.89,150,79,222474.79,2816.14,35,6,2,dune_dex_trades
510,0x979fbe94ae021730d1e2a7894343ab060c173bba,Dune DEX Trader #0,74.6,DEX Trader,Active Trader,50,3.91,149,69,100780.69,1460.59,24,17,5,dune_dex_trades
511,0xab9b67896a3f36244d3b1904a3328ab2fea1d5e7,Dune DEX Trader #0,74.5,DEX Trader,Active Trader,68.8,1.88,176,602,4848758.3,8054.42,120,25,3,dune_dex_trades
512,0x0000008e3ed6dd3e870eb169119f1961ba98cfc3,Dune DEX Trader #0,74.5,DEX Trader,Active Trader,50,3.34,179,586,15339563.79,26176.73,151,18,5,dune_dex_trades
513,0x188f88455df530b9f154ed72d6fcd6a2cea6a09f,Dune DEX Trader #0,74.5,DEX Trader,Active Trader,57.1,2.9,177,503,13119700.34,26082.9,138,20,5,dune_dex_trades
514,0xd58d34292fc669f6957b7c06a55926f4fb2b5007,Dune DEX Trader #0,74.5,DEX Trader,Active Trader,80,2.57,171,75,58717.46,782.9,27,11,1,dune_dex_trades
515,0xb35f28508bbd7fe14d243c46b0b0ef0f08f0fd6c,Dune DEX Trader #0,74.5,DEX Trader,Active Trader,80,2.44,131,39,94188.66,2415.09,26,5,4,dune_dex_trades
