rank,address,copy_trading_score,win_rate_pct,profit_factor,track_record_days,max_drawdown_pct,avg_trade_duration_hrs,total_trades,active_days,trades_per_day,avg_trade_usd,total_volume_usd,tokens_traded,dex_count,first_trade,last_trade,wallet_type,source,tags
238,0x82fcfffe80d80365a5f2f42a6ea87d1e815bec4c,69.6,75,27.46,123,,,105,20,5.25,75328.61,7909503.7,5,3,2026-01-01 22:25:35.000 UTC,2026-05-05 21:35:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
239,0x290909806740b70d97efb2c530870053ec5d6304,69.6,59.5,3.15,179,,,2793,122,22.89,10341.95,28885056.32,37,5,2025-12-11 18:44:47.000 UTC,2026-06-09 00:03:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
240,0xcb921a7687f8ae0534da8202f583a37f32d9cac5,69.6,75,125.98,120,,,50,22,2.27,58880.81,2944040.68,6,5,2026-01-08 15:14:59.000 UTC,2026-05-08 18:44:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
241,0x0000008e3ed6dd3e870eb169119f1961ba98cfc3,69.6,50,3.34,179,,,586,151,3.88,26176.73,15339563.79,18,5,2025-12-11 20:25:59.000 UTC,2026-06-09 07:42:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
242,0xf8b64b6015f6feb1fbe79bb512f1113e829ddd96,69.6,70.6,1.68,179,,,670,124,5.4,8440.95,5655433.53,21,3,2025-12-11 22:33:11.000 UTC,2026-06-09 07:30:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
243,0x51cc1d9d65cdb7c8a64df748a062d50b9e0c9311,69.6,52.9,2.89,179,,,586,151,3.88,20923.44,12261135.25,20,4,2025-12-11 21:37:47.000 UTC,2026-06-09 16:37:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
244,0xfaacd79182704b637992b842dd926402cd6335db,69.6,66.7,1.73,179,,,636,137,4.64,26375.05,16774533.08,14,5,2025-12-11 23:00:47.000 UTC,2026-06-08 23:52:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
245,0xa1b7bbade134db3b14b56056480e81c60ab77377,69.5,83.3,2.15,155,,,252,81,3.11,3054.81,769812.42,17,2,2025-12-11 21:19:23.000 UTC,2026-05-16 17:15:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
246,0x1fdd2c6600312df1e1ce1f1ff4cabe504a09c352,69.5,71.4,1.6,177,,,526,125,4.21,9431.17,4960792.86,8,1,2025-12-13 09:10:35.000 UTC,2026-06-08 23:02:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
247,0x8e1e19fd5440048292242c942bed7d1bc8857fad,69.4,61.4,3.88,123,,,2408,117,20.58,7617.37,18342636.78,104,5,2026-02-06 01:44:23.000 UTC,2026-06-09 17:18:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
248,0x4dfae204a53e4d10e842a7eb2e7ad4931c3abe5b,69.4,56,2.25,179,,,2691,155,17.36,12559.93,33798776.91,38,3,2025-12-11 19:12:59.000 UTC,2026-06-09 16:49:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
249,0x9683495e5bbd30d741eddd3f972d7ae5188423b2,69.3,43.8,5.4,145,,,1623,143,11.35,10815.42,17553432.37,21,5,2025-12-12 09:33:59.000 UTC,2026-05-06 14:12:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
250,0x928d36aace2a6bf276c83ee812c10a00b97d5c40,69.3,50,13.25,164,,,95,47,2.02,1283.51,121933.12,10,4,2025-12-25 15:01:35.000 UTC,2026-06-08 08:25:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
251,0xb7c2f4c212e83c9503beb0cbe53013bfbdb51f2e,69.3,68,1.16,175,,,5479,153,35.81,11200.75,61368896.58,52,2,2025-12-15 20:30:23.000 UTC,2026-06-09 15:40:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
252,0x00000027f490acee7f11ab5fdd47209d6422c5a7,69.3,57.8,1.38,179,,,5188,181,28.66,4333.25,22480877.92,95,3,2025-12-11 18:07:59.000 UTC,2026-06-09 10:02:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
253,0x836219ebfafd339d1bbb41cef918ca19f1b58869,69.3,71.4,1.37,178,,,503,131,3.84,1370.02,689121.22,10,7,2025-12-12 00:19:47.000 UTC,2026-06-08 01:17:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
254,0x34ae93aa8ba87d19e6bdc9e5beacfd0c78162345,69.2,80,4.24,167,,,101,34,2.97,12806.58,1293464.36,5,3,2025-12-11 21:32:47.000 UTC,2026-05-28 03:57:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
255,0x8037b05c3cbf001f05c0e493b4473e1dfbf517a3,69.2,50,11.3,111,,,4787,83,57.67,6485.54,31046262.28,6,6,2026-02-17 22:39:47.000 UTC,2026-06-08 23:28:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
256,0x56613ad9f3d5df30c48f278bf2b9e41bbe287039,69.2,61.7,3.38,123,,,4887,122,40.06,6263.35,30608979.18,120,5,2026-02-06 05:59:23.000 UTC,2026-06-09 12:04:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
257,0x0b63d65da19975dbaaebab47f08b99c42c7de662,69.2,60,2.13,179,,,1891,142,13.32,2702.93,5111240.4,35,9,2025-12-12 00:37:11.000 UTC,2026-06-09 13:06:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
258,0x93fa8d7313f3dbcc627fdc7896d2323e71865eb6,69.2,50,15.04,155,,,82,43,1.91,1559.02,127839.87,43,1,2026-01-03 10:23:23.000 UTC,2026-06-08 05:58:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
259,0xbeee82b740e01941b7b951189dd714d3c8150506,69.2,60,2.31,178,,,547,137,3.99,21215.66,11604963.96,18,5,2025-12-12 02:57:59.000 UTC,2026-06-08 20:30:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
260,0x6745024462abf2c049f54b381c4ad4a8c8d999c4,69.2,65.4,0.78,179,,,8284,181,45.77,4737.95,39249153.13,283,5,2025-12-11 18:28:11.000 UTC,2026-06-09 15:33:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
261,0xab9b67896a3f36244d3b1904a3328ab2fea1d5e7,69.1,68.8,1.88,176,,,602,120,5.02,8054.42,4848758.3,25,3,2025-12-15 01:59:59.000 UTC,2026-06-09 13:08:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
262,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,69.1,64.7,0.79,179,,,16345,181,90.3,11897.7,194467985.4,19,1,2025-12-11 18:23:59.000 UTC,2026-06-09 17:11:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
263,0xad6cea45f98444a922a2b4fe96b8c90f0862d2f4,69.1,66.7,0.66,179,,,2896,181,16.0,5114,14810134.25,14,4,2025-12-11 20:22:47.000 UTC,2026-06-09 13:43:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
264,0xc92208319a6602c8c74b6576d8e1335368fc4d52,69.0,66.7,9.7,128,,,603,45,13.4,2529.09,1525042.58,3,1,2025-12-24 14:16:35.000 UTC,2026-05-01 22:32:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
265,0x1c0683b6664e5ec88decf8f964b372123f46ca12,69.0,66.7,8.88,137,,,283,45,6.29,9444.96,2672924.89,5,3,2025-12-25 23:41:23.000 UTC,2026-05-12 22:45:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
266,0xc052907aff18334c9b67d630981eceacbf8a411e,69.0,66.7,3.38,176,,,486,86,5.65,1365.17,663471.08,22,3,2025-12-11 22:57:59.000 UTC,2026-06-06 12:10:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
267,0xbee018a99073a0d838d2412add382db3af711005,69.0,50,3.36,179,,,3502,143,24.49,2936.25,10282752.42,32,4,2025-12-11 21:13:47.000 UTC,2026-06-09 16:58:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
268,0xa356867fdcea8e71aeaf87805808803806231fdc,69.0,66.7,1.62,178,,,1032,134,7.7,6728.25,6943555.39,10,1,2025-12-13 12:09:35.000 UTC,2026-06-09 13:37:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
269,0x208ff5eb543814789321daa1b5eb551881d16b06,69.0,57.1,2.36,179,,,830,143,5.8,2469.96,2050069.29,7,1,2025-12-11 22:03:47.000 UTC,2026-06-09 03:10:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
270,0x60943cb06b76a24431659165c81a03c16f1c325c,69.0,58.8,1.21,179,,,6417,180,35.65,1516.31,9730171.25,62,3,2025-12-11 20:51:47.000 UTC,2026-06-09 15:34:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
271,0x7cf772f60a51563898af5f9cdbc0bcc6c626baaa,69.0,66.7,0.68,179,,,3064,177,17.31,6613.04,20262353.09,116,5,2025-12-11 18:55:47.000 UTC,2026-06-09 15:40:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
272,0x52bdb8b7197a007d5aa50194342bd178b84860ac,68.9,66.7,5.21,94,,,1366,84,16.26,24120.41,32948473.33,6,8,2025-12-24 05:59:23.000 UTC,2026-03-28 17:24:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
273,0xd065eb4f208c5dc0a7339edac6b2dad5f86e8f3e,68.9,64.6,4.15,134,,,7156,100,71.56,1030.03,7370905.62,67,4,2026-01-15 08:53:47.000 UTC,2026-05-29 12:32:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
274,0xe3b23ac4bcc614905f2d1c67739fffe641c4995a,68.9,75,3.14,164,,,608,71,8.56,7821.84,4755676.78,4,3,2025-12-25 15:46:47.000 UTC,2026-06-08 01:22:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
275,0x1fa8bbd3f95f89958930450ee155355588888888,68.9,66.7,14.45,121,,,49,24,2.04,1264.89,61979.43,43,3,2026-01-30 15:14:23.000 UTC,2026-06-01 06:33:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
276,0xd0686dd6115303a898dffe8c0cc27229f051f80b,68.8,58.8,5.5,173,,,512,76,6.74,1784.96,913897.57,23,3,2025-12-11 18:48:47.000 UTC,2026-06-03 08:43:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
277,0x166976216e5756141afb81d0bd94d81a06d84005,68.8,80,4.34,153,,,90,41,2.2,3148.55,283369.24,5,4,2025-12-11 21:19:23.000 UTC,2026-05-14 18:31:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
278,0x247b69f78d2a590bec1ac0a4a4066debe3fca2b8,68.8,60,5.59,174,,,287,69,4.16,4890.89,1403684.05,10,6,2025-12-16 00:22:47.000 UTC,2026-06-08 15:04:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
279,0xdd267b63bd010eec39f689ebe681404ea0e25eff,68.8,78.9,2.97,174,,,137,52,2.63,6795.14,930933.57,38,1,2025-12-12 03:55:11.000 UTC,2026-06-04 21:06:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
280,0x16c60d3e294f609bd9aeb10f3ef4b5c901f4bd23,68.8,75,1.03,178,,,3541,127,27.88,8128.75,28783892.91,15,5,2025-12-13 14:29:47.000 UTC,2026-06-09 14:48:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
281,0x2200123c50f2c15f1f5d38d95710c64ac4d79444,68.7,66.7,7.14,160,,,169,39,4.33,1469.71,248380.23,98,3,2025-12-30 21:02:11.000 UTC,2026-06-09 12:54:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
282,0xe4fd8213711f18fad8a97a1db45436abd8a2902c,68.7,80,11.65,127,,,67,32,2.09,901.75,60417,5,5,2025-12-22 13:33:11.000 UTC,2026-04-29 05:58:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
283,0x731461b70ad0f00422e0f2b2cf7daa3640bc61c4,68.7,64.7,1.71,145,,,1676,145,11.56,13146.3,22033204.62,19,5,2025-12-12 11:19:11.000 UTC,2026-05-06 14:06:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
284,0x10f2ccefdd2257a44103379f4fe70421c2e81e96,68.7,50,3.24,178,,,722,143,5.05,1599.78,1155038.71,11,5,2025-12-12 18:46:23.000 UTC,2026-06-09 17:02:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
285,0x000000aed6068d981d76641494752acf64012032,68.7,45.5,3.75,179,,,619,148,4.18,21225.48,13138571.66,14,5,2025-12-11 21:33:11.000 UTC,2026-06-09 17:00:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
286,0xba7a03a37c0799a4182d1c4ca3bf3321f8ba3329,68.6,66.7,5.27,151,,,176,68,2.59,2133.57,375508.2,14,5,2026-01-08 14:18:59.000 UTC,2026-06-08 16:16:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
287,0x34811a951f6a4eab44d350d9234a0455ee4fd148,68.6,60,5,149,,,228,93,2.45,1842.39,420063.84,8,2,2026-01-08 11:20:47.000 UTC,2026-06-07 01:16:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
288,0x3d126d6b1581f7566a34bd4e912920bba41367d5,68.6,51.4,1.94,174,,,5167,176,29.36,1501.44,7757941.8,211,4,2025-12-16 19:09:23.000 UTC,2026-06-09 10:41:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
289,0xfb4a2282f98280f1281a752a0875d71283a4d9fb,68.5,75,5.06,171,,,112,25,4.48,1048.28,117406.89,22,4,2025-12-19 12:24:11.000 UTC,2026-06-08 22:44:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
290,0x09b8621281297c8c6119e331f8cf8456a0b3c839,68.5,60,12.97,119,,,103,45,2.29,1663.86,171377.57,14,3,2025-12-11 18:20:47.000 UTC,2026-04-10 16:19:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
291,0xb4acbc082b5e7ded571c98ee4257778a9d784b36,68.5,62.5,2.98,124,,,764,121,6.31,2907.39,2221243.51,30,1,2026-02-04 08:12:35.000 UTC,2026-06-09 03:39:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
292,0x0a6ce7b3737d5a6d3720d034da484d5691cce45b,68.5,100,,169,,,301,109,2.76,2164.89,651632.78,9,2,2025-12-22 14:17:23.000 UTC,2026-06-09 14:46:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
293,0x6bf97afe2d2c790999cded2a8523009eb8a0823f,68.5,48.3,2.03,179,,,4034,179,22.54,16536.21,66707068.6,36,5,2025-12-11 20:13:35.000 UTC,2026-06-09 16:50:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
294,0xade1e3b40b58e51df923cfbffcfb3502a5b07d1a,68.5,59,1.05,179,,,6548,181,36.18,25445.12,166614613.27,40,4,2025-12-11 18:18:47.000 UTC,2026-06-09 17:16:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
295,0x9a6fae683549309386b633275a4f6933a022a092,68.5,65.1,0.8,179,,,9522,170,56.01,10811.29,102945100.44,117,6,2025-12-11 18:35:35.000 UTC,2026-06-09 16:10:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
296,0xc4fc3183b044dfd4bb05ea050cac58db1dd5ed0d,68.4,80.9,1.72,102,,,6704,99,67.72,2978.87,19970347.5,100,8,2026-02-27 12:13:35.000 UTC,2026-06-09 15:02:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
297,0x73691cee20db22f55a6fd0d5948ab00e0fb973b1,68.4,75,2.52,144,,,135,92,1.47,1623.03,219108.43,4,8,2026-01-05 03:46:47.000 UTC,2026-05-29 15:30:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
298,0x7225d8708b78772f7ccadc6df264c42b2b96c35a,68.4,61.5,1.89,178,,,656,136,4.82,25093.04,16461034.36,16,5,2025-12-12 15:43:47.000 UTC,2026-06-08 23:52:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
299,0x4fe93ebc4ce6ae4f81601cc7ce7139023919e003,68.3,52.6,2.29,179,,,3310,153,21.63,18419.47,60968451.9,96,5,2025-12-12 00:52:59.000 UTC,2026-06-09 17:17:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
300,0x4123ffc81579e38dfff74b75d8bdf21c41e62237,68.2,60,5.77,176,,,134,58,2.31,3094.9,414717.08,21,5,2025-12-13 11:18:47.000 UTC,2026-06-08 09:17:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
301,0xbee0330ead7ec2a81da3a34c05a1ba86a0c95012,68.2,59.3,1.3,177,,,4593,164,28.01,3316.1,15230849.27,35,4,2025-12-11 21:40:35.000 UTC,2026-06-06 23:38:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
302,0x74714f646e72721451585b47a975feb489e6e2da,68.1,33.3,71,142,,,1192,69,17.28,7477.74,8913467.84,4,2,2025-12-30 08:21:47.000 UTC,2026-05-21 10:26:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
303,0x2ecd8f51fa432415fe8f385b8b369f13eff16fcb,68.1,94.3,0.95,177,,,128,55,2.33,2558.59,327499.79,35,2,2025-12-13 09:11:35.000 UTC,2026-06-09 05:27:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
304,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,68.1,51.4,1.59,179,,,7551,180,41.95,2838.75,21435409.84,53,1,2025-12-11 18:23:59.000 UTC,2026-06-08 23:10:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
305,0x807a9341516068964b7435e2bd7ee064a04b5c96,68.0,76.9,11.92,132,,,181,29,6.24,914.83,165584.3,66,1,2026-01-05 18:18:47.000 UTC,2026-05-18 17:49:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
306,0x0481c467abd2de99020b30635773d5ba02098ec7,68.0,50,10.18,179,,,83,39,2.13,1502.89,124739.82,18,5,2025-12-11 18:47:23.000 UTC,2026-06-08 21:10:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
307,0xbee2a0be64fbf551424c9a66f837a28aefc97014,68.0,52.2,2.13,178,,,4910,156,31.47,3104.09,15241061.18,28,4,2025-12-13 07:46:47.000 UTC,2026-06-09 16:33:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
308,0x95480d3f27658e73b2785d30beb0c847d78294c7,68.0,48.3,1.84,179,,,15034,179,83.99,12613.29,189628202.66,36,5,2025-12-11 18:14:47.000 UTC,2026-06-09 17:02:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
309,0x433700890211c1c776c391d414cffd38efdd1811,68.0,66.7,2.05,164,,,270,116,2.33,8826.6,2383180.89,9,5,2025-12-24 10:11:23.000 UTC,2026-06-07 01:44:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
310,0x1ad7e24b6287fdc29a93418d1cefa66f47c8b8d1,67.9,69.6,20.48,121,,,505,21,24.05,749.83,378664,53,1,2026-02-02 06:28:35.000 UTC,2026-06-03 12:11:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
311,0xe27008a503a9e6a37b8abb32aa123640f0508dd2,67.9,75,2.19,103,,,1030,99,10.4,5678.56,5848913.75,4,2,2026-02-25 10:50:23.000 UTC,2026-06-08 16:22:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
312,0x69460570c93f9de5e2edbc3052bf10125f0ca22d,67.9,41.2,2.67,179,,,3623,181,20.02,8472.13,30694514.28,40,3,2025-12-11 21:12:35.000 UTC,2026-06-09 15:57:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
313,0x84c4c905fc18313f0a8e20855a067b7caaca5922,67.9,100,,178,,,214,96,2.23,2581.68,552478.5,10,1,2025-12-12 11:58:11.000 UTC,2026-06-08 15:20:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
314,0x1efcd7c5f09a20201ef603bb0e7402ba05f1a1e2,67.8,66.7,1.91,178,,,439,110,3.99,29732.23,13052447.86,3,1,2025-12-12 15:01:23.000 UTC,2026-06-09 14:07:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
315,0x4cd54281c7a944f1764d0f1dfb4102d13f119a69,67.7,83.3,3.52,162,,,48,25,1.92,1970.56,94586.95,6,5,2025-12-16 00:47:59.000 UTC,2026-05-27 08:29:59.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
316,0xa65ee7a4abe4df24e030e75bafb99d96b9531030,67.7,66.7,2.93,177,,,507,80,6.34,1543.43,782517.82,18,3,2025-12-11 21:37:47.000 UTC,2026-06-07 09:39:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
317,0xfcec5d04d41f730f672d77ccb1c8546cbfc84428,67.7,68,1.89,123,,,4360,122,35.74,7298.2,31820147.87,107,5,2026-02-06 01:54:59.000 UTC,2026-06-09 16:11:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
318,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,67.7,46.2,2.01,178,,,12776,178,71.78,6748.29,86216104.08,386,10,2025-12-12 22:33:47.000 UTC,2026-06-09 16:39:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
319,0x33b30435c5b52b48705f81a34d5ffe5e395e20b8,67.6,60,8.63,131,,,174,56,3.11,4015.91,698767.49,5,7,2025-12-22 01:13:11.000 UTC,2026-05-02 05:16:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
320,0xa67d7eb4dc68fa6ce8e34ef8cadaf075b9893fbb,67.6,45.5,2.19,175,,,2652,175,15.15,3059.43,8113604.9,20,5,2025-12-16 15:41:23.000 UTC,2026-06-09 17:08:11.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
321,0xe8e80b3f3f4a78c555c8bae80cb44d92eb9fcb3c,67.6,50,2.73,178,,,593,142,4.18,20655.64,12248794.99,17,3,2025-12-11 22:41:35.000 UTC,2026-06-08 22:19:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
322,0x3980daa7eaad0b7e0c53cfc5c2760037270da54d,67.6,47.5,1.81,179,,,13687,181,75.62,27603.61,377810676.55,53,5,2025-12-11 18:07:23.000 UTC,2026-06-09 16:26:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
323,0x6eb5074720000002327b363e9630ca4797c6d43b,67.5,75,8.83,103,,,57,33,1.73,1985.56,113176.67,8,2,2026-02-25 02:07:47.000 UTC,2026-06-08 19:59:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
324,0xf505281d6f778b009b7ed377b1db1ca92002ee1d,67.5,80,3.3,174,,,122,72,1.69,763.24,93115.4,5,8,2025-12-13 08:24:11.000 UTC,2026-06-05 11:25:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
325,0x1053ec0d66c4d1678099521b07f19a4532d33578,67.5,52.9,1.28,179,,,9454,180,52.52,1612.81,15247542.6,20,4,2025-12-11 19:07:11.000 UTC,2026-06-09 17:04:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
326,0x0eb8d76a3895938870f70aa77a58214f27ef9aa9,67.5,54.5,1.34,179,,,847,171,4.95,2783.8,2357882.13,20,1,2025-12-11 19:18:23.000 UTC,2026-06-09 11:35:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
327,0x1ce053b5d96d6d73c70ffe4888335ca56a268888,67.4,58.3,7.46,169,,,768,40,19.2,1444.94,1109710.76,18,5,2025-12-22 03:29:47.000 UTC,2026-06-09 16:39:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
328,0xc78304acdf1f0d62b51441a38e5c1bab78f03f7a,67.4,75,4.28,135,,,167,56,2.98,1516.81,253307.4,7,4,2026-01-23 08:58:35.000 UTC,2026-06-08 07:03:47.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
329,0xe6a0d182aa33396fe4f41e5a956802e4a7809931,67.4,46.7,5.67,175,,,357,97,3.68,24384.84,8705388.86,18,5,2025-12-11 19:15:47.000 UTC,2026-06-05 07:16:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
330,0x0f5486c5fc3a9fb65dc6a1223d5b9233d4bde792,67.4,60,3.79,151,,,255,98,2.6,1647.28,420056.83,10,2,2026-01-07 16:16:59.000 UTC,2026-06-07 23:38:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
331,0xada5bb90d0de0bd1b6f3938708f49295a8d1f7cb,67.4,45.5,2.15,174,,,2645,175,15.11,2582.57,6830885.12,21,5,2025-12-16 17:14:47.000 UTC,2026-06-08 19:08:35.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
332,0x277c7cb41d48d090264539bdcd552eda7f419c2b,67.4,66.7,1.96,145,,,497,120,4.14,1347.08,669496.98,4,4,2026-01-14 13:31:11.000 UTC,2026-06-09 13:04:23.000 UTC,DEX Trader,dune_dex_trades,ethereum|copy-trading|dex-trader|smart-money
